seq(n), email, first, last
1,gos@ahbug.pm,Lura,Griffith
2,ijke@fospop.nc,Mildred,Bishop
3,uk@fitoaj.kg,Larry,Garrett
4,bo@amdo.ie,Eva,Houston
5,hufzu@no.rs,Hester,Fleming
6,caim@jija.pr,Daniel,Flores
7,senlar@dubde.es,Benjamin,Santiago
8,kik@zialhe.ad,Olive,Hammond
9,za@hu.ph,Patrick,Schneider
10,lec@coros.cy,Bertie,Tyler
1,gos@ahbug.pm,Lura,Griffith
2,ijke@fospop.nc,Mildred,Bishop
3,uk@fitoaj.kg,Larry,Garrett
4,bo@amdo.ie,Eva,Houston
5,hufzu@no.rs,Hester,Fleming
6,caim@jija.pr,Daniel,Flores
7,senlar@dubde.es,Benjamin,Santiago
8,kik@zialhe.ad,Olive,Hammond
9,za@hu.ph,Patrick,Schneider
